	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	8076.0	10194.6	8968.4	7491.1	6608.2	5830.4	5289.5	4638.1	4298.1	3991.0	3645.2	3526.2	3332.7	3219.1	3070.0	2303.0	3564.8	3604.9	3577.2	3652.6	3345.7	3575.6	5452.0	6312.1	6496.6	7152.7	7477.3	7777.5	8642.1	9073.8	9311.6	1885.6	9536.2	10210.3	10244.6	10356.9	10457.7	10244.1	10329.5	10540.4	10358.9	10052.4	10217.9	10263.0	10216.8	9937.4	10184.7	5655.0	9904.8	10220.7	9828.3	9975.2	9875.7	9931.8	9669.2	9200.0	9887.2	10093.8	10086.7	10016.5	10167.9	10071.1	9946.4	1138.5	
16m	10733.0	10560.1	9934.8	8795.7	7950.3	7420.6	6890.9	6530.8	5908.4	5644.8	5416.1	4947.0	4891.4	4649.7	4569.2	4268.4	8137.9	10209.2	7210.4	7818.9	10012.0	10421.8	11099.3	11105.7	11090.4	11093.7	10956.4	10695.5	10769.6	10997.2	10986.6	3816.6	11075.3	10996.8	11075.8	10960.9	10882.7	10520.4	10435.0	10849.0	10851.6	10712.7	10565.8	10543.0	10569.3	10644.9	10551.1	10623.8	10528.9	10055.0	9828.3	9942.8	9877.2	10306.5	9743.5	10085.9	9902.2	10011.6	10108.3	10156.8	10167.9	10400.7	10235.6	3167.5	
8m	11033.9	10835.8	11161.7	11154.9	11147.3	11138.5	11122.1	11121.7	11077.1	11003.0	10250.6	9876.5	9036.2	8368.4	7930.4	8338.6	8483.4	8501.1	8445.7	8423.8	8591.4	9314.8	10701.2	11009.4	10995.8	10995.2	10970.0	10918.1	10912.1	10902.7	10917.8	10848.5	10899.3	10901.8	10894.2	10909.5	10890.5	10897.6	10881.9	10885.7	10892.1	10900.1	10878.6	10886.8	10881.4	10841.5	10816.9	11026.7	10836.0	10825.2	10815.7	10828.8	10806.2	10805.6	10812.6	10819.3	10809.4	10814.0	10825.3	10835.0	10816.9	10812.9	10779.3	6407.1	
4m	10775.6	11169.1	11163.5	11157.2	11151.0	11141.2	11125.2	10799.2	10788.1	10707.5	9960.8	9621.8	9048.9	8726.2	8359.1	8621.6	8773.5	8803.6	8831.6	8766.0	8892.2	9660.0	10815.7	11146.5	11119.9	11143.6	11115.4	11116.9	11113.7	10710.3	10735.5	10542.5	10715.2	10744.8	10805.6	10808.1	10796.9	10790.8	10810.6	10779.1	10805.6	10811.5	10818.1	10812.6	10793.0	10783.6	10719.3	10675.8	10720.4	10707.5	10702.8	10706.3	10703.6	10753.1	10721.2	10710.8	10754.0	10741.5	10751.4	10751.5	10707.2	10769.8	10701.2	6702.5	
2m	11141.8	11170.3	11166.2	11160.8	11155.4	10818.2	10807.6	10799.2	10793.1	10751.5	10286.6	10273.4	9539.4	9051.0	8020.4	8376.0	8622.9	8557.4	8475.0	8406.9	8652.9	9759.1	10899.8	11096.9	11090.4	11074.5	11107.5	11092.2	11122.2	11075.8	11106.3	10866.5	11051.2	11113.2	11116.8	11118.1	11115.0	11083.9	11089.8	11134.5	11123.4	11125.2	11089.1	11115.6	11102.1	11099.2	11106.9	11125.1	11125.2	11134.7	11093.2	11089.6	11125.6	11139.4	11096.3	11125.2	11128.7	11139.2	11122.0	11110.9	11105.6	11143.0	11150.1	6785.9	
1024k	11175.1	10772.5	10768.1	10763.7	10768.1	10754.8	10749.3	10741.6	10728.3	10723.9	10376.3	10358.8	9794.6	9252.6	8957.3	9358.6	9545.3	9789.2	9698.5	9836.9	9811.2	10572.2	10834.9	10848.3	10846.2	10879.8	10858.6	10898.1	10903.6	10868.6	10891.4	10619.5	10862.0	10839.3	10874.3	10889.1	10879.7	10886.8	10909.3	10857.3	10909.5	10882.3	10866.3	10861.9	10919.5	10886.8	10916.3	10848.3	10842.6	10902.4	10916.2	10879.6	10910.4	10889.1	10936.9	10929.7	10865.3	10936.4	10883.2	10902.6	10928.4	10961.8	10858.6	6648.0	
512k	11182.3	11182.3	11182.2	11182.3	11182.2	11182.2	11191.8	11182.3	11182.2	11182.1	11167.8	11125.1	10968.8	10866.5	10669.2	11125.2	11113.2	11139.4	11151.3	11134.5	11125.2	11167.8	11153.6	11182.1	11194.0	11181.8	11203.8	11124.9	11138.9	11182.1	11179.5	11125.2	11167.6	11153.5	11157.9	11181.8	11136.3	11196.6	11182.0	11182.1	11196.2	11225.4	11268.3	11220.0	11181.5	11153.1	11247.1	11124.5	11241.5	11253.6	11276.1	11181.8	11220.4	11268.9	11193.6	11124.9	11196.6	11278.1	11371.5	11182.1	11140.7	11254.1	11225.4	6871.5	
256k	11120.5	11125.2	11125.2	11144.2	11134.5	11125.1	11125.2	11125.2	11139.4	11134.5	11167.8	11182.1	11120.0	11191.5	11182.1	11125.2	11234.9	11181.8	11196.6	11182.1	11225.4	11220.0	11153.1	11239.2	11253.6	11181.8	11268.9	11124.9	11278.1	11182.1	11254.1	11201.4	11166.9	11317.5	11326.2	11181.1	11223.9	11287.5	11370.7	11086.5	11195.3	11326.5	11268.3	11219.1	11181.5	11375.2	11360.8	10902.1	11123.4	11132.8	11153.5	11181.8	11220.4	11011.7	11063.5	11124.9	11196.6	11001.8	11087.2	10902.6	11287.2	11106.0	11225.4	7714.2	
128k	10866.5	10866.5	10875.4	10866.5	10902.6	10957.3	10929.7	10975.9	11012.4	10994.2	10911.2	11012.2	11058.9	10994.0	11040.6	11050.1	11153.5	11011.7	11105.5	11086.5	11124.3	11011.3	11152.1	11124.5	11132.8	11181.8	11267.8	11124.9	11276.9	11182.1	11406.2	11050.1	11325.0	11317.5	11324.7	11354.2	11404.9	11475.7	11179.5	11678.6	11393.4	11534.5	11268.3	11432.9	11179.5	11849.2	11595.5	11354.2	11604.9	11891.9	11660.5	11433.6	11754.7	11536.0	11893.2	11678.6	11474.0	11867.8	11668.1	11473.7	11911.5	11723.0	12212.9	8517.7	
64k	10884.6	10902.7	10902.6	10975.9	10994.2	11012.2	11124.9	11050.1	11011.7	11086.5	11219.1	11124.5	11181.8	11124.9	11182.1	11050.1	11317.5	11354.2	11475.7	11275.9	11534.5	11432.9	11375.2	11354.2	11374.8	11433.6	11536.0	11678.6	11274.4	11473.7	11723.0	11357.0	11655.1	12021.8	11678.6	11354.2	11785.1	11472.3	11978.1	12577.0	12269.9	11978.1	12676.8	12385.7	12111.2	11845.0	11595.5	12386.4	12132.3	13076.1	12826.5	12577.0	12337.4	12107.8	13209.2	12976.3	12743.4	12521.5	13849.7	12111.2	11911.5	13188.4	12976.3	11357.0	
